"","iso_code","location","year","month","day","total_vaccinations","people_vaccinated","people_fully_vaccinated"
"151","PAN","Panama","2021","03","10",224765,NA,NA
"152","PNG","Papua New Guinea","2021","03","10",NA,NA,NA
"153","PRY","Paraguay","2021","03","10",2891,2891,NA
"154","PER","Peru","2021","03","10",497703,391078,106625
"155","PHL","Philippines","2021","03","10",114500,114500,NA
"156","POL","Poland","2021","03","10",NA,NA,NA
"157","PRT","Portugal","2021","03","10",1082937,774833,308104
"158","QAT","Qatar","2021","03","10",380000,NA,NA
"159","ROU","Romania","2021","03","10",1969846,1297161,672685
"160","RUS","Russia","2021","03","10",7048129,5272651,1775478
"161","RWA","Rwanda","2021","03","10",228954,228954,NA
"162","SHN","Saint Helena","2021","03","10",NA,NA,NA
"163","KNA","Saint Kitts and Nevis","2021","03","10",NA,NA,NA
"164","LCA","Saint Lucia","2021","03","10",NA,NA,NA
"165","VCT","Saint Vincent and the Grenadines","2021","03","10",NA,NA,NA
"166","WSM","Samoa","2021","03","10",NA,NA,NA
"167","SMR","San Marino","2021","03","10",3668,3668,NA
"168","STP","Sao Tome and Principe","2021","03","10",NA,NA,NA
"169","SAU","Saudi Arabia","2021","03","10",1685881,NA,NA
"170","SEN","Senegal","2021","03","10",68205,68205,NA
"171","SRB","Serbia","2021","03","10",1792912,1145893,647019
"172","SYC","Seychelles","2021","03","10",87333,60439,26894
"173","SLE","Sierra Leone","2021","03","10",NA,NA,NA
"174","SGP","Singapore","2021","03","10",NA,NA,NA
"175","SVK","Slovakia","2021","03","10",588532,386512,202020
"176","SVN","Slovenia","2021","03","10",226118,156323,69795
"177","SLB","Solomon Islands","2021","03","10",NA,NA,NA
"178","SOM","Somalia","2021","03","10",NA,NA,NA
"179","ZAF","South Africa","2021","03","10",128887,128887,128887
"180","OWID_SAM","South America","2021","03","10",19253001,14492186,4280565
"181","KOR","South Korea","2021","03","10",500635,500635,NA
"182","SSD","South Sudan","2021","03","10",NA,NA,NA
"183","ESP","Spain","2021","03","10",5172106,3668848,1503258
"184","LKA","Sri Lanka","2021","03","10",752098,752098,NA
"185","SDN","Sudan","2021","03","10",0,0,NA
"186","SUR","Suriname","2021","03","10",NA,NA,NA
"187","SWE","Sweden","2021","03","10",NA,NA,NA
"188","CHE","Switzerland","2021","03","10",1038172,668043,370129
"189","SYR","Syria","2021","03","10",NA,NA,NA
"190","TWN","Taiwan","2021","03","10",NA,NA,NA
"191","TJK","Tajikistan","2021","03","10",NA,NA,NA
"192","TZA","Tanzania","2021","03","10",NA,NA,NA
"193","THA","Thailand","2021","03","10",33621,33621,NA
"194","TLS","Timor","2021","03","10",NA,NA,NA
"195","TGO","Togo","2021","03","10",NA,NA,NA
"196","TTO","Trinidad and Tobago","2021","03","10",NA,NA,NA
"197","TUN","Tunisia","2021","03","10",NA,NA,NA
"198","TUR","Turkey","2021","03","10",10360283,7745480,2614803
"199","TCA","Turks and Caicos Islands","2021","03","10",NA,NA,NA
"200","UGA","Uganda","2021","03","10",NA,NA,NA
"201","UKR","Ukraine","2021","03","10",29378,29378,NA
